date,weight_SPY,weight_TLT,weight_GLD,weight_USO,weight_UUP,gross_return,net_return,turnover
2023-06-02,0.3382492504355221,0.0,0.07542556729459252,0.5863251822698853,0.0,0.01877711444000911,0.018514827223656407,0.5245744327054074
2023-06-05,0.0,0.4000000000000009,2.7206513796427667e-17,0.0,0.5999999999999992,-0.0017952802559378924,-0.0022952802559378926,1.0
2023-06-06,1.8393095403954614e-18,0.4000000000000002,0.5999999999999998,0.0,0.0,0.0030164389866503168,0.002716438986650317,0.5999999999999999
2023-06-07,3.6036149197593955e-18,0.6,0.4000000000000001,3.2381784532741365e-18,9.513573597981666e-19,-0.013710591858707778,-0.013810591858707777,0.19999999999999973
2023-06-08,0.0,0.39999999999999997,4.376062055927408e-16,3.632723635009333e-18,0.5999999999999996,-0.0001430246404212999,-0.00044302464042129974,0.5999999999999996
2023-06-09,0.0,0.39999999999999997,4.376062055927408e-16,3.632723635009333e-18,0.5999999999999996,0.0013535148605573234,0.0013535148605573234,0.0
2023-06-12,0.39999999999999986,2.637806556259256e-16,0.5999999999999991,0.0,7.34902773618786e-16,0.0031014549671398496,0.0026014549671398504,0.9999999999999984
2023-06-13,8.333967459478436e-17,2.5067220234839685e-18,0.3999999999999999,0.6,0.0,0.015977256018981832,0.01567725601898183,0.6
2023-06-14,0.5999999999999994,1.2490009027033e-16,0.0,0.0,0.40000000000000036,-0.0012572472760299398,-0.0017572472760299398,0.9999999999999998
2023-06-15,0.0,0.6000000000000001,0.39999999999999986,0.0,1.3202651027803926e-16,0.008575865466971243,0.008075865466971243,0.9999999999999998
2023-06-16,0.0,3.8644169467208173e-16,0.3999999999999999,0.5999999999999998,2.7415041956664393e-17,0.00827879678283407,0.00797879678283407,0.5999999999999999
2023-06-20,0.40000000000000063,7.381248712989154e-18,0.0,0.5999999999999994,8.081606542881155e-18,-0.006084623545447565,-0.006284623545447565,0.40000000000000063
2023-06-21,0.5999999999999999,8.315973841827542e-17,0.4000000000000001,2.0728766546252245e-17,1.7166908641289258e-18,-0.003652747859491433,-0.003952747859491432,0.5999999999999994
2023-06-22,0.0,0.39999999999999997,0.0,0.6000000000000001,0.0,-0.02807538168039059,-0.02857538168039059,1.0
2023-06-23,0.6,0.0,0.4000000000000001,0.0,1.2931833041267386e-17,-0.0034331463290195206,-0.00393314632901952,1.0
2023-06-26,0.6,0.0,0.4000000000000001,0.0,1.2931833041267386e-17,-0.00175557716700363,-0.00175557716700363,0.0
2023-06-27,0.5621089868281041,0.0,3.377370987583077e-17,0.43789101317189605,2.8292189176790054e-19,-0.003819562423249121,-0.0040385079298350685,0.437891013171896
2023-06-28,0.39999999999999997,0.0,0.0,0.6,0.0,0.012142956277040184,0.012061901783626133,0.16210898682810404
2023-06-29,0.5999999999999995,0.0,0.0,0.29655157434863744,0.10344842565136292,0.0048893817545119685,0.004737657541686287,0.3034484256513625
2023-06-30,0.5999999999999994,0.218543120409749,0.0,0.0,0.18145687959025159,0.008894162634649667,0.008745886847475348,0.2965515743486376
2023-07-03,0.6,0.0,0.40000000000000013,7.89583811296332e-17,0.0,0.0011390966534325917,0.0009390966534325914,0.4000000000000007
2023-07-05,0.6,1.8820090744117916e-17,0.013584778338825404,1.6198770422526026e-17,0.38641522166117465,0.0008277763136362384,0.0006345687028056511,0.3864152216611747
2023-07-06,0.40000000000000013,0.5999999999999999,0.0,0.0,4.9620736104646766e-17,-0.011618023118445042,-0.011918023118445042,0.5999999999999999
2023-07-07,3.0805375418093584e-16,3.150008066193106e-16,0.0,0.5999999999999998,0.3999999999999996,0.009756519436792963,0.009256519436792962,0.9999999999999993
